p,m,dofs,secs,mem_kb,cond,norm,recip,err
1,1,48,0,15708,6.799330e+01,1.147303e+01,1.269469e-02,3.014088e-01
1,2,192,0,31212,3.812770e+02,1.275874e+01,5.253374e-04,1.244762e-02
1,3,768,2,268652,4.752870e+02,1.286018e+01,3.615604e-05,9.817519e-04
1,4,3072,47,3399704,8.419880e+02,1.287051e+01,4.249333e-06,1.186830e-04
2,1,108,0,16980,9.354870e+02,1.234485e+01,2.509255e-03,5.551803e-02
2,2,300,0,67284,1.300950e+03,1.287244e+01,2.951993e-05,3.407642e-04
2,3,972,2,979356,4.594220e+03,1.287191e+01,3.181113e-07,2.203338e-06
2,4,3468,34,14113620,1.256960e+04,1.287193e+01,8.569866e-09,6.173632e-08
3,1,192,0,23756,4.538610e+03,1.296600e+01,6.776804e-04,8.362394e-03
3,2,432,1,216792,1.096170e+04,1.287181e+01,3.766429e-06,2.261525e-05
3,3,1200,10,2788096,3.964010e+04,1.287193e+01,6.900948e-09,3.000214e-08
3,4,3888,149,41669732,1.137280e+05,1.287193e+01,3.539994e-11,1.510684e-10
4,1,300,1,36868,5.454160e+04,1.286030e+01,1.274479e-04,9.308568e-04
4,2,588,3,461828,8.473870e+04,1.287194e+01,7.640114e-07,2.222347e-06
4,3,1452,30,6480240,2.775930e+05,1.287193e+01,2.675099e-10,1.308236e-09
4,4,4332,491,98614092,8.046420e+05,1.287193e+01,2.440921e-13,2.587280e-12
5,1,432,1,76036,1.056490e+06,1.287296e+01,2.416014e-05,8.841729e-05
5,2,768,7,918568,7.593580e+05,1.287193e+01,1.279260e-07,3.554628e-07
5,3,1728,97,13067916,1.685210e+06,1.287193e+01,2.271870e-11,5.587600e-10
5,4,4800,1494,201036472,4.730070e+06,1.287193e+01,3.220479e-11,2.046850e-09
